,Unnamed: 0,Unnamed: 0.1,Region/Country/Area,Región,Year,Series,Value,Footnotes,Source
760,760,784,156,China,2010,"Intentional homicide rates per 100,000",1.0,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
761,761,785,156,China,2014,"Intentional homicide rates per 100,000",0.7,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
764,764,788,156,China,2016,"Intentional homicide rates per 100,000",0.6,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
765,765,789,344,"China, Hong Kong SAR",2005,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
772,772,797,344,"China, Hong Kong SAR",2010,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
779,779,805,344,"China, Hong Kong SAR",2013,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
786,786,813,344,"China, Hong Kong SAR",2016,"Intentional homicide rates per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
787,787,814,446,"China, Macao SAR",2005,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
788,788,815,446,"China, Macao SAR",2010,"Intentional homicide rates per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
795,795,823,446,"China, Macao SAR",2015,"Intentional homicide rates per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
801,801,831,446,"China, Macao SAR",2016,"Intentional homicide rates per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
806,806,838,170,Colombia,2005,"Intentional homicide rates per 100,000",41.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
814,814,846,170,Colombia,2010,"Intentional homicide rates per 100,000",33.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
822,822,854,170,Colombia,2015,"Intentional homicide rates per 100,000",26.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
830,830,862,170,Colombia,2016,"Intentional homicide rates per 100,000",25.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
837,837,869,174,Comoros,2005,"Intentional homicide rates per 100,000",9.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
838,838,870,174,Comoros,2010,"Intentional homicide rates per 100,000",8.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
839,839,871,174,Comoros,2015,"Intentional homicide rates per 100,000",7.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
842,842,874,178,Congo,2005,"Intentional homicide rates per 100,000",10.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
843,843,875,178,Congo,2010,"Intentional homicide rates per 100,000",9.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
844,844,876,178,Congo,2015,"Intentional homicide rates per 100,000",9.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
847,847,879,184,Cook Islands,2012,"Intentional homicide rates per 100,000",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
848,848,880,188,Costa Rica,2005,"Intentional homicide rates per 100,000",7.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
854,854,886,188,Costa Rica,2010,"Intentional homicide rates per 100,000",11.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
862,862,894,188,Costa Rica,2013,"Intentional homicide rates per 100,000",8.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
870,870,902,188,Costa Rica,2014,"Intentional homicide rates per 100,000",10.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
875,875,907,188,Costa Rica,2016,"Intentional homicide rates per 100,000",11.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
876,876,908,384,C�te d�Ivoire,2005,"Intentional homicide rates per 100,000",14.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
880,880,912,384,C�te d�Ivoire,2010,"Intentional homicide rates per 100,000",12.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
881,881,913,384,C�te d�Ivoire,2015,"Intentional homicide rates per 100,000",11.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
884,884,916,191,Croatia,2005,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
892,892,924,191,Croatia,2010,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
900,900,932,191,Croatia,2015,"Intentional homicide rates per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
907,907,940,191,Croatia,2016,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
913,913,947,192,Cuba,2005,"Intentional homicide rates per 100,000",6.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
916,916,950,192,Cuba,2010,"Intentional homicide rates per 100,000",4.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
919,919,953,192,Cuba,2016,"Intentional homicide rates per 100,000",5.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
922,922,956,531,Cura�ao,2005,"Intentional homicide rates per 100,000",20.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
925,925,959,531,Cura�ao,2007,"Intentional homicide rates per 100,000",19.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
928,928,962,196,Cyprus,2005,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
936,936,970,196,Cyprus,2010,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
944,944,978,196,Cyprus,2015,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
952,952,986,196,Cyprus,2016,"Intentional homicide rates per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
958,958,992,203,Czechia,2005,"Intentional homicide rates per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
966,966,1000,203,Czechia,2010,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
974,974,1008,203,Czechia,2015,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
981,981,1016,203,Czechia,2016,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
988,988,1023,408,Dem. People's Rep. Korea,2005,"Intentional homicide rates per 100,000",5.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
989,989,1024,408,Dem. People's Rep. Korea,2010,"Intentional homicide rates per 100,000",4.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
990,990,1025,408,Dem. People's Rep. Korea,2015,"Intentional homicide rates per 100,000",4.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
991,991,1026,180,Dem. Rep. of the Congo,2005,"Intentional homicide rates per 100,000",14.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
992,992,1027,180,Dem. Rep. of the Congo,2010,"Intentional homicide rates per 100,000",14.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
993,993,1028,180,Dem. Rep. of the Congo,2015,"Intentional homicide rates per 100,000",13.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
996,996,1031,208,Denmark,2005,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1002,1002,1037,208,Denmark,2010,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1009,1009,1044,208,Denmark,2015,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1016,1016,1051,208,Denmark,2016,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1022,1022,1057,262,Djibouti,2005,"Intentional homicide rates per 100,000",8.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1023,1023,1058,262,Djibouti,2010,"Intentional homicide rates per 100,000",7.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1024,1024,1059,262,Djibouti,2015,"Intentional homicide rates per 100,000",6.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1027,1027,1062,212,Dominica,2005,"Intentional homicide rates per 100,000",11.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1028,1028,1063,212,Dominica,2010,"Intentional homicide rates per 100,000",21.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1029,1029,1064,212,Dominica,2011,"Intentional homicide rates per 100,000",8.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1030,1030,1065,214,Dominican Republic,2005,"Intentional homicide rates per 100,000",25.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1034,1034,1069,214,Dominican Republic,2006,"Intentional homicide rates per 100,000",22.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1038,1038,1073,214,Dominican Republic,2010,"Intentional homicide rates per 100,000",25.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1041,1041,1076,214,Dominican Republic,2014,"Intentional homicide rates per 100,000",17.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1049,1049,1084,214,Dominican Republic,2016,"Intentional homicide rates per 100,000",15.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1056,1056,1091,218,Ecuador,2005,"Intentional homicide rates per 100,000",15.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1063,1063,1098,218,Ecuador,2010,"Intentional homicide rates per 100,000",17.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1071,1071,1106,218,Ecuador,2014,"Intentional homicide rates per 100,000",8.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1079,1079,1114,218,Ecuador,2016,"Intentional homicide rates per 100,000",5.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1086,1086,1121,818,Egypt,2005,"Intentional homicide rates per 100,000",0.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1091,1091,1127,818,Egypt,2010,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1099,1099,1135,818,Egypt,2011,"Intentional homicide rates per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1107,1107,1143,818,Egypt,2012,"Intentional homicide rates per 100,000",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1110,1110,1146,222,El Salvador,2005,"Intentional homicide rates per 100,000",64.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1117,1117,1153,222,El Salvador,2010,"Intentional homicide rates per 100,000",64.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1125,1125,1161,222,El Salvador,2015,"Intentional homicide rates per 100,000",105.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1133,1133,1169,222,El Salvador,2016,"Intentional homicide rates per 100,000",82.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1136,1136,1172,226,Equatorial Guinea,2005,"Intentional homicide rates per 100,000",2.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1137,1137,1173,226,Equatorial Guinea,2010,"Intentional homicide rates per 100,000",2.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1138,1138,1174,226,Equatorial Guinea,2015,"Intentional homicide rates per 100,000",2.3,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1141,1141,1177,232,Eritrea,2005,"Intentional homicide rates per 100,000",9.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1142,1142,1178,232,Eritrea,2010,"Intentional homicide rates per 100,000",8.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1143,1143,1179,232,Eritrea,2015,"Intentional homicide rates per 100,000",8.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1146,1146,1182,233,Estonia,2005,"Intentional homicide rates per 100,000",8.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1154,1154,1190,233,Estonia,2010,"Intentional homicide rates per 100,000",5.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1161,1161,1198,233,Estonia,2015,"Intentional homicide rates per 100,000",3.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1168,1168,1206,748,Eswatini,2004,"Intentional homicide rates per 100,000",13.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1173,1173,1211,748,Eswatini,2005,"Intentional homicide rates per 100,000",13.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1174,1174,1212,748,Eswatini,2010,"Intentional homicide rates per 100,000",17.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1177,1177,1215,231,Ethiopia,2005,"Intentional homicide rates per 100,000",9.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1178,1178,1216,231,Ethiopia,2010,"Intentional homicide rates per 100,000",8.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1179,1179,1217,231,Ethiopia,2015,"Intentional homicide rates per 100,000",7.6,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1182,1182,1220,242,Fiji,2005,"Intentional homicide rates per 100,000",2.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1185,1185,1223,242,Fiji,2010,"Intentional homicide rates per 100,000",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1188,1188,1226,242,Fiji,2014,"Intentional homicide rates per 100,000",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1191,1191,1229,246,Finland,2005,"Intentional homicide rates per 100,000",2.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1198,1198,1237,246,Finland,2010,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1205,1205,1245,246,Finland,2015,"Intentional homicide rates per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1212,1212,1253,246,Finland,2016,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1219,1219,1260,250,France,2005,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1225,1225,1266,250,France,2010,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1231,1231,1272,250,France,2015,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1239,1239,1280,250,France,2016,"Intentional homicide rates per 100,000",1.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1246,1246,1287,254,French Guiana,2005,"Intentional homicide rates per 100,000",22.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1247,1247,1288,254,French Guiana,2009,"Intentional homicide rates per 100,000",13.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1250,1250,1291,258,French Polynesia,2009,"Intentional homicide rates per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1251,1251,1292,266,Gabon,2005,"Intentional homicide rates per 100,000",11.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1252,1252,1293,266,Gabon,2010,"Intentional homicide rates per 100,000",8.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1253,1253,1294,266,Gabon,2015,"Intentional homicide rates per 100,000",8.0,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1256,1256,1297,270,Gambia,2005,"Intentional homicide rates per 100,000",9.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1257,1257,1298,270,Gambia,2010,"Intentional homicide rates per 100,000",9.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1258,1258,1299,270,Gambia,2015,"Intentional homicide rates per 100,000",9.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1261,1261,1302,268,Georgia,2005,"Intentional homicide rates per 100,000",9.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1269,1269,1310,268,Georgia,2010,"Intentional homicide rates per 100,000",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1277,1277,1318,268,Georgia,2014,"Intentional homicide rates per 100,000",2.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1284,1284,1325,268,Georgia,2016,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1287,1287,1328,276,Germany,2005,"Intentional homicide rates per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1295,1295,1336,276,Germany,2010,"Intentional homicide rates per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1303,1303,1344,276,Germany,2015,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1311,1311,1352,276,Germany,2016,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1318,1318,1359,288,Ghana,2005,"Intentional homicide rates per 100,000",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1319,1319,1360,288,Ghana,2010,"Intentional homicide rates per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1320,1320,1361,288,Ghana,2011,"Intentional homicide rates per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1323,1323,1364,292,Gibraltar,2010,"Intentional homicide rates per 100,000",3.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1324,1324,1365,300,Greece,2005,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1332,1332,1373,300,Greece,2010,"Intentional homicide rates per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1340,1340,1381,300,Greece,2015,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1348,1348,1389,300,Greece,2016,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1355,1355,1396,304,Greenland,2005,"Intentional homicide rates per 100,000",17.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1356,1356,1397,304,Greenland,2010,"Intentional homicide rates per 100,000",19.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1357,1357,1398,304,Greenland,2016,"Intentional homicide rates per 100,000",5.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1358,1358,1399,308,Grenada,2005,"Intentional homicide rates per 100,000",10.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1365,1365,1407,308,Grenada,2010,"Intentional homicide rates per 100,000",9.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1372,1372,1415,308,Grenada,2015,"Intentional homicide rates per 100,000",5.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1379,1379,1423,308,Grenada,2016,"Intentional homicide rates per 100,000",10.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1385,1385,1429,312,Guadeloupe,2005,"Intentional homicide rates per 100,000",5.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1388,1388,1432,312,Guadeloupe,2009,"Intentional homicide rates per 100,000",8.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1391,1391,1435,316,Guam,2005,"Intentional homicide rates per 100,000",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1392,1392,1436,316,Guam,2010,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1393,1393,1437,316,Guam,2011,"Intentional homicide rates per 100,000",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1396,1396,1440,320,Guatemala,2005,"Intentional homicide rates per 100,000",40.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1404,1404,1448,320,Guatemala,2010,"Intentional homicide rates per 100,000",40.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1412,1412,1456,320,Guatemala,2012,"Intentional homicide rates per 100,000",33.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1420,1420,1464,320,Guatemala,2014,"Intentional homicide rates per 100,000",31.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1427,1427,1471,320,Guatemala,2015,"Intentional homicide rates per 100,000",29.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1432,1432,1476,320,Guatemala,2016,"Intentional homicide rates per 100,000",27.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1436,1436,1480,324,Guinea,2005,"Intentional homicide rates per 100,000",10.1,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1445,1445,1489,324,Guinea,2010,"Intentional homicide rates per 100,000",9.4,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1446,1446,1490,324,Guinea,2015,"Intentional homicide rates per 100,000",8.8,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1449,1449,1493,624,Guinea-Bissau,2005,"Intentional homicide rates per 100,000",11.7,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1450,1450,1494,624,Guinea-Bissau,2010,"Intentional homicide rates per 100,000",10.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
1451,1451,1495,624,Guinea-Bissau,2015,"Intentional homicide rates per 100,000",9.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
