,Unnamed: 0,Region/Country/Area,Región,Year,Series,Value,Footnotes,Source
433,451,60,Bermuda,2010,"Kidnapping at the national level, rate per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
434,452,60,Bermuda,2010,"Theft at the national level, rate per 100,000 population",950.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
435,453,60,Bermuda,2010,"Robbery at the national level, rate per 100,000 population",154.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
436,454,60,Bermuda,2010,"Total Sexual Violence at the national level, rate per 100,000",143.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
437,455,60,Bermuda,2015,"Intentional homicide rates per 100,000",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
438,456,60,Bermuda,2015,"Percentage of male and female intentional homicide victims, Male",13.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
439,458,60,Bermuda,2015,"Assault rate per 100,000 population",93.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
440,459,60,Bermuda,2015,"Kidnapping at the national level, rate per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
441,460,60,Bermuda,2015,"Theft at the national level, rate per 100,000 population",2272.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
442,461,60,Bermuda,2015,"Robbery at the national level, rate per 100,000 population",74.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
443,462,60,Bermuda,2015,"Total Sexual Violence at the national level, rate per 100,000",137.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
444,463,60,Bermuda,2016,"Intentional homicide rates per 100,000",13.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
445,464,60,Bermuda,2016,"Percentage of male and female intentional homicide victims, Male",27.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
446,466,60,Bermuda,2016,"Assault rate per 100,000 population",74.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
447,467,60,Bermuda,2016,"Theft at the national level, rate per 100,000 population",2190.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
448,468,64,Bhutan,2005,"Intentional homicide rates per 100,000",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
449,469,64,Bhutan,2010,"Intentional homicide rates per 100,000",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
450,470,64,Bhutan,2010,"Assault rate per 100,000 population",9.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
451,471,64,Bhutan,2010,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
452,472,64,Bhutan,2010,"Theft at the national level, rate per 100,000 population",67.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
453,473,64,Bhutan,2010,"Robbery at the national level, rate per 100,000 population",6.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
454,474,64,Bhutan,2010,"Total Sexual Violence at the national level, rate per 100,000",9.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
455,475,64,Bhutan,2013,"Intentional homicide rates per 100,000",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
456,476,64,Bhutan,2013,"Assault rate per 100,000 population",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
457,477,64,Bhutan,2013,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
458,478,64,Bhutan,2013,"Theft at the national level, rate per 100,000 population",75.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
459,479,64,Bhutan,2013,"Robbery at the national level, rate per 100,000 population",5.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
460,480,64,Bhutan,2013,"Total Sexual Violence at the national level, rate per 100,000",8.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
461,481,64,Bhutan,2014,"Kidnapping at the national level, rate per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
462,482,64,Bhutan,2014,"Theft at the national level, rate per 100,000 population",68.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
463,483,64,Bhutan,2014,"Total Sexual Violence at the national level, rate per 100,000",10.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
464,484,64,Bhutan,2016,"Intentional homicide rates per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
465,485,64,Bhutan,2016,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
466,486,64,Bhutan,2016,"Percentage of male and female intentional homicide victims, Female",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
467,487,68,Bolivia (Plurin. State of),2005,"Intentional homicide rates per 100,000",5.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
468,488,68,Bolivia (Plurin. State of),2005,"Assault rate per 100,000 population",66.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
469,489,68,Bolivia (Plurin. State of),2005,"Kidnapping at the national level, rate per 100,000",1.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
470,490,68,Bolivia (Plurin. State of),2005,"Theft at the national level, rate per 100,000 population",41.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
471,491,68,Bolivia (Plurin. State of),2005,"Robbery at the national level, rate per 100,000 population",93.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
472,492,68,Bolivia (Plurin. State of),2005,"Total Sexual Violence at the national level, rate per 100,000",18.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
473,493,68,Bolivia (Plurin. State of),2008,"Intentional homicide rates per 100,000",8.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
474,494,68,Bolivia (Plurin. State of),2008,"Percentage of male and female intentional homicide victims, Male",14.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
475,495,68,Bolivia (Plurin. State of),2008,"Percentage of male and female intentional homicide victims, Female",2.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
476,496,68,Bolivia (Plurin. State of),2008,"Assault rate per 100,000 population",72.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
477,497,68,Bolivia (Plurin. State of),2008,"Kidnapping at the national level, rate per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
478,498,68,Bolivia (Plurin. State of),2008,"Theft at the national level, rate per 100,000 population",50.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
479,499,68,Bolivia (Plurin. State of),2008,"Robbery at the national level, rate per 100,000 population",137.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
480,500,68,Bolivia (Plurin. State of),2008,"Total Sexual Violence at the national level, rate per 100,000",26.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
481,501,68,Bolivia (Plurin. State of),2010,"Intentional homicide rates per 100,000",12.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
482,502,68,Bolivia (Plurin. State of),2010,"Assault rate per 100,000 population",85.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
483,503,68,Bolivia (Plurin. State of),2010,"Kidnapping at the national level, rate per 100,000",0.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
484,504,68,Bolivia (Plurin. State of),2010,"Theft at the national level, rate per 100,000 population",50.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
485,505,68,Bolivia (Plurin. State of),2010,"Robbery at the national level, rate per 100,000 population",125.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
486,506,68,Bolivia (Plurin. State of),2010,"Total Sexual Violence at the national level, rate per 100,000",39.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
487,507,68,Bolivia (Plurin. State of),2012,"Intentional homicide rates per 100,000",11.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
488,508,68,Bolivia (Plurin. State of),2012,"Assault rate per 100,000 population",72.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
489,509,68,Bolivia (Plurin. State of),2012,"Kidnapping at the national level, rate per 100,000",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
490,510,68,Bolivia (Plurin. State of),2012,"Theft at the national level, rate per 100,000 population",50.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
491,511,68,Bolivia (Plurin. State of),2012,"Robbery at the national level, rate per 100,000 population",140.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
492,512,68,Bolivia (Plurin. State of),2012,"Total Sexual Violence at the national level, rate per 100,000",47.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
493,513,68,Bolivia (Plurin. State of),2016,"Intentional homicide rates per 100,000",6.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
494,514,68,Bolivia (Plurin. State of),2016,"Percentage of male and female intentional homicide victims, Male",8.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
495,515,68,Bolivia (Plurin. State of),2016,"Percentage of male and female intentional homicide victims, Female",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
496,516,68,Bolivia (Plurin. State of),2016,"Assault rate per 100,000 population",74.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
497,517,68,Bolivia (Plurin. State of),2016,"Kidnapping at the national level, rate per 100,000",0.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
498,518,70,Bosnia and Herzegovina,2002,"Intentional homicide rates per 100,000",2.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
499,519,70,Bosnia and Herzegovina,2002,"Percentage of male and female intentional homicide victims, Male",3.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
500,520,70,Bosnia and Herzegovina,2002,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
501,521,70,Bosnia and Herzegovina,2005,"Intentional homicide rates per 100,000",1.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
502,522,70,Bosnia and Herzegovina,2005,"Assault rate per 100,000 population",36.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
503,523,70,Bosnia and Herzegovina,2005,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
504,524,70,Bosnia and Herzegovina,2005,"Theft at the national level, rate per 100,000 population",487.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
505,525,70,Bosnia and Herzegovina,2005,"Robbery at the national level, rate per 100,000 population",20.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
506,526,70,Bosnia and Herzegovina,2008,"Intentional homicide rates per 100,000",1.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
507,527,70,Bosnia and Herzegovina,2008,"Assault rate per 100,000 population",39.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
508,528,70,Bosnia and Herzegovina,2008,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
509,529,70,Bosnia and Herzegovina,2008,"Theft at the national level, rate per 100,000 population",171.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
510,530,70,Bosnia and Herzegovina,2008,"Robbery at the national level, rate per 100,000 population",19.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
511,531,70,Bosnia and Herzegovina,2008,"Total Sexual Violence at the national level, rate per 100,000",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
512,532,70,Bosnia and Herzegovina,2010,"Intentional homicide rates per 100,000",1.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
513,533,70,Bosnia and Herzegovina,2010,"Percentage of male and female intentional homicide victims, Male",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
514,534,70,Bosnia and Herzegovina,2010,"Percentage of male and female intentional homicide victims, Female",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
515,535,70,Bosnia and Herzegovina,2010,"Assault rate per 100,000 population",13.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
516,537,70,Bosnia and Herzegovina,2010,"Theft at the national level, rate per 100,000 population",305.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
517,538,70,Bosnia and Herzegovina,2010,"Total Sexual Violence at the national level, rate per 100,000",3.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
518,539,70,Bosnia and Herzegovina,2015,"Intentional homicide rates per 100,000",1.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
519,540,70,Bosnia and Herzegovina,2015,"Percentage of male and female intentional homicide victims, Male",2.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
520,541,70,Bosnia and Herzegovina,2015,"Percentage of male and female intentional homicide victims, Female",1.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
521,542,70,Bosnia and Herzegovina,2015,"Assault rate per 100,000 population",28.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
522,544,70,Bosnia and Herzegovina,2015,"Theft at the national level, rate per 100,000 population",137.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
523,545,70,Bosnia and Herzegovina,2015,"Total Sexual Violence at the national level, rate per 100,000",4.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
524,546,70,Bosnia and Herzegovina,2016,"Intentional homicide rates per 100,000",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
525,547,70,Bosnia and Herzegovina,2016,"Percentage of male and female intentional homicide victims, Male",1.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
526,548,70,Bosnia and Herzegovina,2016,"Percentage of male and female intentional homicide victims, Female",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
527,549,70,Bosnia and Herzegovina,2016,"Assault rate per 100,000 population",28.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
528,551,70,Bosnia and Herzegovina,2016,"Theft at the national level, rate per 100,000 population",127.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
529,552,70,Bosnia and Herzegovina,2016,"Robbery at the national level, rate per 100,000 population",28.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
530,553,72,Botswana,2005,"Intentional homicide rates per 100,000",15.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
531,554,72,Botswana,2010,"Intentional homicide rates per 100,000",15.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
532,555,72,Botswana,2010,"Percentage of male and female intentional homicide victims, Male",27.9,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
533,556,72,Botswana,2010,"Percentage of male and female intentional homicide victims, Female",2.5,Estimate.,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
534,557,72,Botswana,2010,"Assault rate per 100,000 population",866.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
535,558,72,Botswana,2010,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
536,559,72,Botswana,2010,"Theft at the national level, rate per 100,000 population",1474.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
537,560,72,Botswana,2010,"Robbery at the national level, rate per 100,000 population",119.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
538,561,72,Botswana,2014,"Assault rate per 100,000 population",776.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
539,562,72,Botswana,2014,"Kidnapping at the national level, rate per 100,000",0.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
540,563,72,Botswana,2014,"Theft at the national level, rate per 100,000 population",1367.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
541,564,72,Botswana,2014,"Robbery at the national level, rate per 100,000 population",78.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
542,565,72,Botswana,2014,"Total Sexual Violence at the national level, rate per 100,000",123.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
543,566,76,Brazil,2005,"Intentional homicide rates per 100,000",23.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
544,567,76,Brazil,2005,"Percentage of male and female intentional homicide victims, Male",43.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
545,568,76,Brazil,2005,"Percentage of male and female intentional homicide victims, Female",3.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
546,569,76,Brazil,2010,"Intentional homicide rates per 100,000",22.0,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
547,570,76,Brazil,2010,"Percentage of male and female intentional homicide victims, Male",40.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
548,571,76,Brazil,2010,"Percentage of male and female intentional homicide victims, Female",3.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
549,572,76,Brazil,2010,"Assault rate per 100,000 population",363.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
550,573,76,Brazil,2010,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
551,574,76,Brazil,2010,"Theft at the national level, rate per 100,000 population",702.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
552,575,76,Brazil,2010,"Robbery at the national level, rate per 100,000 population",549.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
553,576,76,Brazil,2010,"Total Sexual Violence at the national level, rate per 100,000",23.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
554,577,76,Brazil,2013,"Intentional homicide rates per 100,000",26.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
555,578,76,Brazil,2013,"Percentage of male and female intentional homicide victims, Male",49.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
556,579,76,Brazil,2013,"Percentage of male and female intentional homicide victims, Female",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
557,580,76,Brazil,2013,"Assault rate per 100,000 population",326.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
558,581,76,Brazil,2013,"Kidnapping at the national level, rate per 100,000",0.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
559,582,76,Brazil,2013,"Theft at the national level, rate per 100,000 population",881.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
560,583,76,Brazil,2013,"Robbery at the national level, rate per 100,000 population",500.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
561,584,76,Brazil,2013,"Total Sexual Violence at the national level, rate per 100,000",27.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
562,585,76,Brazil,2015,"Intentional homicide rates per 100,000",28.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
563,586,76,Brazil,2015,"Percentage of male and female intentional homicide victims, Male",53.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
564,587,76,Brazil,2015,"Percentage of male and female intentional homicide victims, Female",4.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
565,588,76,Brazil,2016,"Intentional homicide rates per 100,000",29.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
566,589,92,British Virgin Islands,2004,"Intentional homicide rates per 100,000",17.7,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
567,590,92,British Virgin Islands,2006,"Intentional homicide rates per 100,000",8.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
568,591,96,Brunei Darussalam,2000,"Intentional homicide rates per 100,000",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
569,592,96,Brunei Darussalam,2000,"Percentage of male and female intentional homicide victims, Male",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
570,593,96,Brunei Darussalam,2000,"Percentage of male and female intentional homicide victims, Female",1.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
571,594,96,Brunei Darussalam,2004,"Intentional homicide rates per 100,000",0.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
572,595,96,Brunei Darussalam,2004,"Assault rate per 100,000 population",149.4,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
573,596,96,Brunei Darussalam,2004,"Kidnapping at the national level, rate per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
574,597,96,Brunei Darussalam,2004,"Theft at the national level, rate per 100,000 population",292.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
575,598,96,Brunei Darussalam,2004,"Robbery at the national level, rate per 100,000 population",3.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
576,599,96,Brunei Darussalam,2005,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
577,600,96,Brunei Darussalam,2005,"Assault rate per 100,000 population",145.1,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
578,601,96,Brunei Darussalam,2005,"Theft at the national level, rate per 100,000 population",329.2,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
579,602,96,Brunei Darussalam,2005,"Robbery at the national level, rate per 100,000 population",2.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
580,603,96,Brunei Darussalam,2006,"Intentional homicide rates per 100,000",0.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
581,604,96,Brunei Darussalam,2006,"Assault rate per 100,000 population",121.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
582,605,96,Brunei Darussalam,2006,"Theft at the national level, rate per 100,000 population",306.8,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
583,606,96,Brunei Darussalam,2006,"Robbery at the national level, rate per 100,000 population",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
584,607,96,Brunei Darussalam,2010,"Intentional homicide rates per 100,000",0.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
585,608,96,Brunei Darussalam,2013,"Intentional homicide rates per 100,000",0.5,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
586,609,100,Bulgaria,2005,"Intentional homicide rates per 100,000",2.6,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
587,610,100,Bulgaria,2005,"Percentage of male and female intentional homicide victims, Male",3.9,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
588,611,100,Bulgaria,2005,"Percentage of male and female intentional homicide victims, Female",1.3,,"United Nations Office on Drugs and Crime (UNODC), Vienna, UNODC Statistics database, last accessed March 2019."
